name,passmark,rank,value,price
GeForce GTX 470M,1949,162,NA,NA
GeForce GTX 480,4323,64,60.05,$71.99*
GeForce GTX 480M,2018,160,NA,NA
GeForce GTX 485M,2380,139,NA,NA
GeForce GTX 550 Ti,1923,170,6.69,$287.59*
GeForce GTX 555,2177,149,NA,NA
GeForce GTX 560,3112,104,8.80,$353.59
GeForce GTX 560 SE,2238,146,24.87,$89.99*
GeForce GTX 560 Ti,3533,91,23.73,$148.90
GeForce GTX 560M,1555,204,NA,NA
GeForce GTX 570,4395,61,43.95,$99.99*
GeForce GTX 570M,2010,161,NA,NA
GeForce GTX 580,4987,50,17.20,$289.88*
GeForce GTX 580M,2323,140,NA,NA
GeForce GTX 590,4055,78,22.04,$184.00*
GeForce GTX 645,1917,171,NA,NA
GeForce GTX 650,1831,179,12.21,$149.99
GeForce GTX 650 Ti,2668,127,11.12,$239.99
GeForce GTX 650 Ti BOOST,3536,90,NA,NA
GeForce GTX 660,4119,75,16.48,$249.99
GeForce GTX 660 Ti,4707,56,9.03,$521.38
GeForce GTX 660M,1389,226,NA,NA
GeForce GTX 670,5382,40,7.32,$735.59
GeForce GTX 670M,1869,176,NA,NA
GeForce GTX 670MX,2035,157,NA,NA
GeForce GTX 675M,2090,154,NA,NA
GeForce GTX 675MX,2304,141,NA,NA
GeForce GTX 680,5715,32,5.93,$963.59
GeForce GTX 680M,3366,97,6.73,$499.99
GeForce GTX 680MX,4394,62,NA,NA
GeForce GTX 690,5273,41,5.28,$999.00
GeForce GTX 745,2162,152,NA,NA
GeForce GTX 750,3245,99,24.04,$135.00
GeForce GTX 750 Ti,3683,86,35.08,$104.99
GeForce GTX 760,4951,51,19.80,$249.99
GeForce GTX 760 Ti,5092,47,17.12,$297.50*
GeForce GTX 760A,1281,247,NA,NA
GeForce GTX 760M,1379,228,NA,NA
GeForce GTX 765M,1894,174,NA,NA
GeForce GTX 770,6148,28,13.08,$469.99
GeForce GTX 770M,2662,128,NA,NA
GeForce GTX 775M,4193,72,NA,NA
GeForce GTX 780,8018,15,20.38,$393.33
GeForce GTX 780 Ti,8969,10,8.63,"$1,038.85"
GeForce GTX 780M,4083,77,NA,NA
GeForce GTX 850A,376,730,NA,NA
GeForce GTX 850M,1412,223,NA,NA
GeForce GTX 860M,1602,199,NA,NA
GeForce GTX 870M,2171,151,NA,NA
GeForce GTX 880M,3569,89,NA,NA
GeForce GTX 950,5242,43,40.33,$129.99
GeForce GTX 950A,1467,215,NA,NA
GeForce GTX 950M,1438,217,NA,NA
GeForce GTX 960,5917,30,34.81,$169.99
GeForce GTX 960A,1908,173,NA,NA
GeForce GTX 960M,1774,183,NA,NA
GeForce GTX 965M,2938,115,NA,NA
GeForce GTX 970,8657,11,33.30,$259.99
GeForce GTX 970M,3950,80,1.76,"$2,249.99"
GeForce GTX 980,9743,8,26.69,$364.99
GeForce GTX 980 Ti,11539,5,27.47,$419.99
GeForce GTX 980M,5566,35,NA,NA
GeForce GTX Titan,7923,17,3.86,"$2,054.59"
GeForce GTX TITAN Black,8655,12,6.18,"$1,399.99"
GeForce GTX TITAN X,10837,6,7.22,"$1,500.00"
GeForce GTX TITAN Z,7936,16,2.65,"$2,999.99"
GeForce PCX 5300,6,1276,NA,NA
GeForce PCX 5750,34,1182,NA,NA
GeForce2 GTS/GeForce2 Pro,3,1346,NA,NA
GeForce2 Integrated GPU,4,1317,NA,NA
GeForce2 MX,2,1368,NA,NA
GeForce2 MX 100/200,3,1335,NA,NA
GeForce2 MX/MX 400,3,1352,NA,NA
GeForce2 Ti,4,1330,NA,NA
GeForce3,4,1321,NA,NA
GeForce3 Ti 200,4,1316,NA,NA
GeForce3 Ti 500,2,1364,NA,NA
GeForce4 420 Go,3,1334,NA,NA
GeForce4 420 Go 32M,5,1285,NA,NA
GeForce4 4200 Go,4,1310,NA,NA
GeForce4 440 Go,3,1351,NA,NA
GeForce4 440 Go 64M,5,1298,NA,NA
GeForce4 448 Go,5,1286,NA,NA
