name,passmark,rank,value,price
Radeon HD 8970M,3883,81,NA,NA
Radeon HD 8990,5041,48,NA,NA
RADEON HD6370D,331,761,NA,NA
RADEON HD6410D,422,702,NA,NA
RADEON HD6530D,531,635,NA,NA
Radeon HD7570,1028,304,NA,NA
Radeon HD8490,377,729,NA,NA
Radeon HD8970M,3078,105,NA,NA
Radeon IGP 320M,3,1353,NA,NA
Radeon IGP 340M,2,1363,NA,NA
RADEON IGP 345M,2,1371,NA,NA
RADEON IGP 350M,6,1274,NA,NA
Radeon R2,297,785,NA,NA
Radeon R2E,223,837,NA,NA
Radeon R3,379,728,NA,NA
Radeon R3E,271,803,NA,NA
Radeon R4,406,713,NA,NA
Radeon R5 220,231,831,NA,NA
Radeon R5 235,361,740,NA,NA
Radeon R5 235 + HD 7560D Dual,743,451,NA,NA
Radeon R5 235X,373,732,NA,NA
Radeon R5 240,653,522,10.05,$65.00
Radeon R5 310,343,751,NA,NA
Radeon R5 M230,454,685,NA,NA
Radeon R5 M240,512,652,NA,NA
Radeon R5 M255,741,453,NA,NA
Radeon R5 M330,545,625,NA,NA
Radeon R5 M335,544,626,NA,NA
Radeon R5E,330,763,NA,NA
Radeon R6,652,524,NA,NA
Radeon R6 + R7 M265DX Dual,570,596,NA,NA
Radeon R7 + HD 7700 Dual,1935,166,NA,NA
Radeon R7 + R7 200 Dual,1254,254,NA,NA
Radeon R7 + R7 240 Dual,1036,301,NA,NA
Radeon R7 240,960,336,16.55,$57.99
Radeon R7 240 + HD 8570D Dual,917,353,NA,NA
Radeon R7 240 + HD 8670D Dual,930,348,NA,NA
Radeon R7 250,1399,224,19.99,$69.99
Radeon R7 260,2890,116,32.11,$89.99*
Radeon R7 260X,3074,106,28.49,$107.89
Radeon R7 340,1011,313,NA,NA
Radeon R7 360,3138,103,34.87,$89.99
Radeon R7 370,4383,63,NA,NA
Radeon R7 A10 PRO-7800B,877,373,NA,NA
Radeon R7 A10 PRO-7850B,857,381,NA,NA
Radeon R7 A10-7700K,901,361,NA,NA
Radeon R7 A10-7800,882,370,NA,NA
Radeon R7 A10-7850K,1021,308,NA,NA
"Radeon R7 A10-7860K Radeon R7, 12 Compute Cores 4C",1028,305,NA,NA
"Radeon R7 A10-7870K Radeon R7, 12 Compute Cores 4C",1153,274,NA,NA
"Radeon R7 A10-7890K Radeon R7, 12 Compute Cores 4C",1185,269,NA,NA
"Radeon R7 A10-8750 Radeon R7, 12 Compute Cores 4C+",983,325,NA,NA
Radeon R7 A265,987,322,NA,NA
Radeon R7 A370,1281,248,NA,NA
Radeon R7 A8 PRO-7600B,735,458,NA,NA
Radeon R7 A8-7600,932,346,NA,NA
Radeon R7 A8-7650K,880,371,NA,NA
"Radeon R7 A8-7650K Radeon R7, 10 Compute Cores 4C+",758,443,NA,NA
Radeon R7 A8-7670K,899,364,NA,NA
"Radeon R7 A8-8650 Radeon R7, 10 Compute Cores 4C+6",898,366,NA,NA
Radeon R7 M260,678,499,0.85,$799.00*
Radeon R7 M260X,1088,284,NA,NA
Radeon R7 M265,807,407,NA,NA
Radeon R7 M270,751,447,NA,NA
Radeon R7 M340,842,389,NA,NA
Radeon R7 M360,642,542,NA,NA
Radeon R7 M370,1367,231,NA,NA
"Radeon R7 PRO A10-8750B R7, 12 Compute Cores 4C+8G",811,405,NA,NA
"Radeon R7 PRO A10-8850B R7, 12 Compute Cores 4C+8G",916,354,NA,NA
"Radeon R7 PRO A8-8650B R7, 10 Compute Cores 4C+6G",928,349,NA,NA
Radeon R9 255,1758,184,NA,NA
Radeon R9 260,2971,111,NA,NA
Radeon R9 270 / R7 370,4255,68,35.46,$119.99
Radeon R9 270X,4589,57,20.31,$226.00
Radeon R9 280,4910,52,NA,NA
Radeon R9 280X,5544,36,NA,NA
Radeon R9 285 / 380,5539,37,28.78,$192.47
Radeon R9 290 / 390,6929,25,26.65,$259.99
Radeon R9 290X / 390X,7175,23,23.92,$299.99
Radeon R9 295X2,7158,24,4.97,"$1,439.99*"
Radeon R9 360,3025,108,NA,NA
Radeon R9 370,4722,55,NA,NA
Radeon R9 380,5478,38,20.67,$264.99
Radeon R9 380X,5791,31,34.07,$169.99
Radeon R9 390,7190,22,NA,NA
Radeon R9 390X,7444,21,NA,NA
Radeon R9 Fury + Fury X,8300,14,23.71,$349.99
Radeon R9 M265X,1214,264,NA,NA
Radeon R9 M270X,1312,239,NA,NA
Radeon R9 M275,1084,286,1.36,$799.99
Radeon R9 M275X / M375,1414,220,NA,NA
Radeon R9 M290X,3811,82,NA,NA
Radeon R9 M295X,5101,46,NA,NA
Radeon R9 M360,1448,216,NA,NA
Radeon R9 M370X,1937,165,NA,NA
Radeon R9 M375,1012,312,NA,NA
Radeon R9 M380,3047,107,NA,NA
Radeon R9 M390X,3391,96,NA,NA
Radeon R9 M395,5015,49,NA,NA
Radeon R9 M395X,5576,34,NA,NA
Radeon RX 460,4271,67,37.14,$114.99
Radeon RX 470,7527,20,37.64,$199.99
Radeon RX 480,7614,19,28.20,$269.99
Radeon TM R9 A360,2148,153,NA,NA
Radeon X1050,50,1123,NA,NA
Radeon X1200,32,1191,NA,NA
Radeon X1250,35,1181,NA,NA
Radeon X1270,31,1195,NA,NA
Radeon X1300,57,1112,0.56,$101.99*
Radeon X1300 PRO,87,1036,NA,NA
Radeon X1550,63,1095,0.56,$113.00*
Radeon X1550 64-bit,44,1146,NA,NA
Radeon X1600,44,1142,NA,NA
Radeon X1600 Pro,96,1014,NA,NA
Radeon X1600 XT,109,973,NA,NA
Radeon X1650 GTO,74,1065,NA,NA
Radeon X1650 Pro,82,1051,0.51,$160.89*
Radeon X1650 SE,71,1071,NA,NA
Radeon X1700 Targa Edition,116,960,NA,NA
Radeon X1800 GTO,137,929,NA,NA
Radeon X1900 CrossFire Edition,153,910,NA,NA
Radeon X1900 GT,140,922,NA,NA
Radeon X1950 CrossFire Edition,151,913,NA,NA
Radeon X1950 GT,110,972,NA,NA
Radeon X1950 Pro,110,970,NA,NA
RADEON X300SE,38,1168,NA,NA
RADEON X550,46,1138,NA,NA
RADEON X550XT,54,1116,NA,NA
Radeon X550XTX,66,1086,NA,NA
RADEON X600 256MB HyperMemory,55,1115,NA,NA
RADEON X600XT,91,1029,NA,NA
RADEON X700,72,1070,NA,NA
RADEON X700 PRO,80,1055,NA,NA
RADEON X700 SE,74,1064,NA,NA
RADEON X800 GT,81,1054,NA,NA
RADEON X800 GTO,75,1063,NA,NA
RADEON X800 PRO,60,1100,NA,NA
RADEON X800 PRO/GTO,73,1068,NA,NA
RADEON X800 XL,67,1082,NA,NA
RADEON X800 XT,97,1009,NA,NA
RADEON X800GT,80,1056,NA,NA
RADEON X850 PRO,72,1069,NA,NA
RADEON X850 XT,81,1052,NA,NA
RADEON X850 XT Platinum Edition,79,1057,NA,NA
Radeon Xpress 1100,32,1192,NA,NA
Radeon Xpress 1150,29,1202,NA,NA
Radeon Xpress 1200,33,1186,NA,NA
Radeon Xpress 1250,41,1160,NA,NA
Radeon Xpress 1270,26,1211,NA,NA
RADEON XPRESS 200,29,1200,NA,NA
RADEON XPRESS 200M,20,1233,NA,NA
Rage Fury Pro/Xpert 2000 Pro,3,1340,NA,NA
RIVA TNT2 Model 64/Model 64 Pro,3,1333,NA,NA
RIVA TNT2/TNT2 Pro,3,1343,NA,NA
RV530 PRO,113,967,NA,NA
S3 Chrome 430 ULP,39,1167,NA,NA
S3 ProSavageDDR,1,1375,NA,NA
SAPPHIRE RADEON 9600 ATLANTIS,47,1135,NA,NA
SAPPHIRE Radeon X1550,54,1117,NA,NA
Sapphire RADEON X800 GT,112,968,NA,NA
Sherry 1.3 for GMA 3150,1,1372,NA,NA
Sherry 1.3.2 beta for 945 chipsets,3,1344,NA,NA
SiS 630/730,1,1376,NA,NA
SiS 650_651_M650_M652_740,3,1347,NA,NA
SiS 651,2,1369,NA,NA
SiS 661FX,3,1350,NA,NA
SiS 661FX/GX Mirage,4,1311,NA,NA
SiS 661FX_760_741_M661FX_M760_M741,4,1305,NA,NA
SiS 741,4,1315,NA,NA
SiS 760,5,1283,NA,NA
SiS M661MX,4,1309,NA,NA
SiS M760GX,3,1349,NA,NA
SiS Mirage,4,1329,NA,NA
SiS Mirage 3,2,1361,NA,NA
SUMO 9640,650,528,NA,NA
SUMO 964A,497,660,NA,NA
Tesla C2050,3450,93,NA,NA
Tesla C2050 / C2070,3682,87,NA,NA
Tesla C2070,3178,101,NA,NA
Tesla C2075,3191,100,1.41,"$2,269.99*"
TITAN X,12976,1,NA,NA
Vanta/Vanta LT,3,1342,NA,NA
VIA Chrome9 HC IGP,4,1314,NA,NA
VIA Chrome9 HC IGP Family,4,1312,NA,NA
VIA Chrome9 HC IGP Family WDDM,3,1354,NA,NA
VIA Chrome9 HC IGP WDDM,3,1336,NA,NA
VIA Chrome9 HC IGP WDDM 1.1,3,1337,NA,NA
VIA Chrome9 HD IGP,12,1257,NA,NA
VIA/S3G Chrome 645/640 GPU,106,981,NA,NA
VIA/S3G DeltaChrome IGP,3,1357,NA,NA
VIA/S3G KM400/KN400,4,1304,NA,NA
VIA/S3G UniChrome IGP,4,1307,NA,NA
VIA/S3G UniChrome Pro IGP,4,1322,NA,NA
VIA/S3G UniChromeII,5,1300,NA,NA
VirtualBox Adapter for Windows 8+,858,380,NA,NA
Wine Display Adapter,304,778,NA,NA
